disease,MEDICATION:
Plague,ciprofloxacin; levofloxacin; streptomycin; doxycycline; gentamicin; chloramphenicol; moxifloxacin; ofloxacin; ciprofloxacin; levofloxacin; streptomycin; doxycycline; gentamicin; chloramphenicol; moxifloxacin; ofloxacin; ciprofloxacin; levofloxacin; streptomycin; doxycycline; gentamicin; chloramphenicol; moxifloxacin; ofloxacin; ciprofloxacin; levofloxacin; streptomycin; doxycycline; gentamicin; chloramphenicol; moxifloxacin; ofloxacin
Thrombotic/Thromboembolic Disorder,heparin; argatroban; alteplase; urokinase; heparin; argatroban; alteplase; urokinase; heparin; argatroban; alteplase; urokinase; heparin; argatroban; alteplase; urokinase; heparin; argatroban; alteplase; urokinase
Bulimia,fluoxetine; topiramate; venlafaxine; fluoxetine; topiramate; venlafaxine
Bullous Pemphigoid,prednisone; doxycycline; dapsone; minocycline; mycophenolate mofetil; azathioprine; tetracycline; methotrexate; rituximab; prednisolone; erythromycin; infliximab; cyclophosphamide
"Burns, External",silver sulfadiazine; lidocaine; gentamicin; vancomycin; benzocaine
Minor Burns,vitamin a & d; vitamin a & d
"Burns, Nitrogen Retention",somatropin
Bursitis,naproxen; prednisone; indomethacin; dexamethasone; cortisone; triamcinolone; betamethasone; trolamine salicylate; sulindac; naproxen; prednisone; indomethacin; dexamethasone; cortisone; triamcinolone; betamethasone; trolamine salicylate; sulindac; naproxen; prednisone; indomethacin; dexamethasone; cortisone; triamcinolone; betamethasone; trolamine salicylate; sulindac; naproxen; prednisone; indomethacin; dexamethasone; cortisone; triamcinolone; betamethasone; trolamine salicylate; sulindac; naproxen; prednisone; indomethacin; dexamethasone; cortisone; triamcinolone; betamethasone; trolamine salicylate; sulindac
Post Traumatic Stress Disorder,prazosin; sertraline; lamotrigine; mirtazapine; quetiapine; amitriptyline; paroxetine; venlafaxine; risperidone; desvenlafaxine; aripiprazole; dronabinol; asenapine; fluvoxamine; prazosin; sertraline; lamotrigine; mirtazapine; quetiapine; amitriptyline; paroxetine; venlafaxine; risperidone; desvenlafaxine; aripiprazole; dronabinol; asenapine; fluvoxamine; prazosin; sertraline; lamotrigine; mirtazapine; quetiapine; amitriptyline; paroxetine; venlafaxine; risperidone; desvenlafaxine; aripiprazole; dronabinol; asenapine; fluvoxamine; prazosin; sertraline; lamotrigine; mirtazapine; quetiapine; amitriptyline; paroxetine; venlafaxine; risperidone; desvenlafaxine; aripiprazole; dronabinol; asenapine; fluvoxamine; prazosin; sertraline; lamotrigine; mirtazapine; quetiapine; amitriptyline; paroxetine; venlafaxine; risperidone; desvenlafaxine; aripiprazole; dronabinol; asenapine; fluvoxamine
Clostridioides difficile Infection,vancomycin; metronidazole; fidaxomicin; penicillin g potassium; penicillin v potassium; penicillin g sodium; vancomycin; metronidazole; fidaxomicin; penicillin g potassium; penicillin v potassium; penicillin g sodium; vancomycin; metronidazole; fidaxomicin; penicillin g potassium; penicillin v potassium; penicillin g sodium; vancomycin; metronidazole; fidaxomicin; penicillin g potassium; penicillin v potassium; penicillin g sodium; vancomycin; metronidazole; fidaxomicin; penicillin g potassium; penicillin v potassium; penicillin g sodium; vancomycin; metronidazole; fidaxomicin; penicillin g potassium; penicillin v potassium; penicillin g sodium; vancomycin; metronidazole; fidaxomicin; penicillin g potassium; penicillin v potassium; penicillin g sodium; vancomycin; metronidazole; fidaxomicin; penicillin g potassium; penicillin v potassium; penicillin g sodium; vancomycin; metronidazole; fidaxomicin; penicillin g potassium; penicillin v potassium; penicillin g sodium
Methicillin-Resistant Staphylococcus Aureus Infection,vancomycin; linezolid; daptomycin; ofloxacin; dalfopristin / quinupristin; vancomycin; linezolid; daptomycin; ofloxacin; dalfopristin / quinupristin; vancomycin; linezolid; daptomycin; ofloxacin; dalfopristin / quinupristin; vancomycin; linezolid; daptomycin; ofloxacin; dalfopristin / quinupristin; vancomycin; linezolid; daptomycin; ofloxacin; dalfopristin / quinupristin; vancomycin; linezolid; daptomycin; ofloxacin; dalfopristin / quinupristin; vancomycin; linezolid; daptomycin; ofloxacin; dalfopristin / quinupristin
Cachexia,megestrol; somatropin
Calcium Oxalate Calculi with Hyperuricosuria,allopurinol
Cancer,carboplatin; fluorouracil; etoposide; doxorubicin; cyclophosphamide; vincristine; chlorambucil; ifosfamide; vinblastine; dactinomycin; topotecan; fludarabine; thiotepa; carboplatin; fluorouracil; etoposide; doxorubicin; cyclophosphamide; vincristine; chlorambucil; ifosfamide; vinblastine; dactinomycin; topotecan; fludarabine; thiotepa; carboplatin; fluorouracil; etoposide; doxorubicin; cyclophosphamide; vincristine; chlorambucil; ifosfamide; vinblastine; dactinomycin; topotecan; fludarabine; thiotepa; carboplatin; fluorouracil; etoposide; doxorubicin; cyclophosphamide; vincristine; chlorambucil; ifosfamide; vinblastine; dactinomycin; topotecan; fludarabine; thiotepa
Cervical Cancer,cisplatin; carboplatin; methotrexate; topotecan; bevacizumab; fluorouracil; ifosfamide; cyclophosphamide; hydroxyurea; pembrolizumab; cisplatin; carboplatin; methotrexate; topotecan; bevacizumab; fluorouracil; ifosfamide; cyclophosphamide; hydroxyurea; pembrolizumab
Chronic Eosinophilic Leukemia,imatinib; imatinib; imatinib
Chronic Lymphocytic Leukemia,ibrutinib; rituximab; cyclophosphamide; fludarabine; chlorambucil; bendamustine; idelalisib; immune globulin intravenous; venetoclax; obinutuzumab; alemtuzumab; ofatumumab; ibrutinib; rituximab; cyclophosphamide; fludarabine; chlorambucil; bendamustine; idelalisib; immune globulin intravenous; venetoclax; obinutuzumab; alemtuzumab; ofatumumab; ibrutinib; rituximab; cyclophosphamide; fludarabine; chlorambucil; bendamustine; idelalisib; immune globulin intravenous; venetoclax; obinutuzumab; alemtuzumab; ofatumumab; ibrutinib; rituximab; cyclophosphamide; fludarabine; chlorambucil; bendamustine; idelalisib; immune globulin intravenous; venetoclax; obinutuzumab; alemtuzumab; ofatumumab
Chronic Myelogenous Leukemia,imatinib; hydroxyurea; nilotinib; dasatinib; anagrelide; cyclophosphamide; bosutinib; ponatinib; busulfan; cytarabine; fludarabine; omacetaxine; peginterferon alfa-2b; imatinib; hydroxyurea; nilotinib; dasatinib; anagrelide; cyclophosphamide; bosutinib; ponatinib; busulfan; cytarabine; fludarabine; omacetaxine; peginterferon alfa-2b; imatinib; hydroxyurea; nilotinib; dasatinib; anagrelide; cyclophosphamide; bosutinib; ponatinib; busulfan; cytarabine; fludarabine; omacetaxine; peginterferon alfa-2b; imatinib; hydroxyurea; nilotinib; dasatinib; anagrelide; cyclophosphamide; bosutinib; ponatinib; busulfan; cytarabine; fludarabine; omacetaxine; peginterferon alfa-2b; imatinib; hydroxyurea; nilotinib; dasatinib; anagrelide; cyclophosphamide; bosutinib; ponatinib; busulfan; cytarabine; fludarabine; omacetaxine; peginterferon alfa-2b
Colorectal Cancer,oxaliplatin; fluorouracil; leucovorin; capecitabine; irinotecan; bevacizumab; cetuximab; methotrexate; panitumumab; regorafenib; oxaliplatin; fluorouracil; leucovorin; capecitabine; irinotecan; bevacizumab; cetuximab; methotrexate; panitumumab; regorafenib; oxaliplatin; fluorouracil; leucovorin; capecitabine; irinotecan; bevacizumab; cetuximab; methotrexate; panitumumab; regorafenib; oxaliplatin; fluorouracil; leucovorin; capecitabine; irinotecan; bevacizumab; cetuximab; methotrexate; panitumumab; regorafenib; oxaliplatin; fluorouracil; leucovorin; capecitabine; irinotecan; bevacizumab; cetuximab; methotrexate; panitumumab; regorafenib; oxaliplatin; fluorouracil; leucovorin; capecitabine; irinotecan; bevacizumab; cetuximab; methotrexate; panitumumab; regorafenib; oxaliplatin; fluorouracil; leucovorin; capecitabine; irinotecan; bevacizumab; cetuximab; methotrexate; panitumumab; regorafenib; oxaliplatin; fluorouracil; leucovorin; capecitabine; irinotecan; bevacizumab; cetuximab; methotrexate; panitumumab; regorafenib
Conjunctival Mucosa-Associated Lymphoid Tissue Lymphoma,interferon alfa-2b; interferon alfa-2b; interferon alfa-2b
Cutaneous T-cell Lymphoma,romidepsin; clobetasol; vorinostat; bexarotene; methoxsalen; interferon gamma-1b; bexarotene; romidepsin; clobetasol; vorinostat; bexarotene; methoxsalen; interferon gamma-1b; bexarotene; romidepsin; clobetasol; vorinostat; bexarotene; methoxsalen; interferon gamma-1b; bexarotene; romidepsin; clobetasol; vorinostat; bexarotene; methoxsalen; interferon gamma-1b; bexarotene
Dermatofibrosarcoma Protuberans,imatinib; imatinib
Endometrial Cancer,megestrol; medroxyprogesterone; anastrozole; cyclophosphamide; pembrolizumab; lenvatinib; megestrol; medroxyprogesterone; anastrozole; cyclophosphamide; pembrolizumab; lenvatinib; megestrol; medroxyprogesterone; anastrozole; cyclophosphamide; pembrolizumab; lenvatinib; megestrol; medroxyprogesterone; anastrozole; cyclophosphamide; pembrolizumab; lenvatinib; megestrol; medroxyprogesterone; anastrozole; cyclophosphamide; pembrolizumab; lenvatinib; megestrol; medroxyprogesterone; anastrozole; cyclophosphamide; pembrolizumab; lenvatinib; megestrol; medroxyprogesterone; anastrozole; cyclophosphamide; pembrolizumab; lenvatinib; megestrol; medroxyprogesterone; anastrozole; cyclophosphamide; pembrolizumab; lenvatinib
Fallopian Tube Cancer,bevacizumab; niraparib; bevacizumab; niraparib; bevacizumab; niraparib
Stomach Cancer,fluorouracil; capecitabine; doxorubicin; mitomycin; ramucirumab; fluorouracil; capecitabine; doxorubicin; mitomycin; ramucirumab; fluorouracil; capecitabine; doxorubicin; mitomycin; ramucirumab; fluorouracil; capecitabine; doxorubicin; mitomycin; ramucirumab
Hairy Cell Leukemia,cladribine; pentostatin; interferon alfa-2b; moxetumomab pasudotox; cladribine; pentostatin; interferon alfa-2b; moxetumomab pasudotox; cladribine; pentostatin; interferon alfa-2b; moxetumomab pasudotox; cladribine; pentostatin; interferon alfa-2b; moxetumomab pasudotox; cladribine; pentostatin; interferon alfa-2b; moxetumomab pasudotox
Hodgkin's Lymphoma,bleomycin; dacarbazine; doxorubicin; vinblastine; etoposide; cyclophosphamide; vincristine; procarbazine; brentuximab; methotrexate; chlorambucil; nivolumab; carmustine; bleomycin; dacarbazine; doxorubicin; vinblastine; etoposide; cyclophosphamide; vincristine; procarbazine; brentuximab; methotrexate; chlorambucil; nivolumab; carmustine; bleomycin; dacarbazine; doxorubicin; vinblastine; etoposide; cyclophosphamide; vincristine; procarbazine; brentuximab; methotrexate; chlorambucil; nivolumab; carmustine; bleomycin; dacarbazine; doxorubicin; vinblastine; etoposide; cyclophosphamide; vincristine; procarbazine; brentuximab; methotrexate; chlorambucil; nivolumab; carmustine; bleomycin; dacarbazine; doxorubicin; vinblastine; etoposide; cyclophosphamide; vincristine; procarbazine; brentuximab; methotrexate; chlorambucil; nivolumab; carmustine; bleomycin; dacarbazine; doxorubicin; vinblastine; etoposide; cyclophosphamide; vincristine; procarbazine; brentuximab; methotrexate; chlorambucil; nivolumab; carmustine
Kaposi's Sarcoma,paclitaxel; vinblastine; doxorubicin liposomal; interferon alfa-2b; alitretinoin; paclitaxel; vinblastine; doxorubicin liposomal; interferon alfa-2b; alitretinoin
Leukemia,prednisone; dexamethasone; cytarabine; dasatinib; idarubicin; triamcinolone; fludarabine; prednisone; dexamethasone; cytarabine; dasatinib; idarubicin; triamcinolone; fludarabine
Non-Small Cell Lung Cancer,cisplatin; erlotinib; pemetrexed; nivolumab; bevacizumab; paclitaxel; gefitinib; crizotinib; methotrexate; cisplatin; erlotinib; pemetrexed; nivolumab; bevacizumab; paclitaxel; gefitinib; crizotinib; methotrexate; cisplatin; erlotinib; pemetrexed; nivolumab; bevacizumab; paclitaxel; gefitinib; crizotinib; methotrexate; cisplatin; erlotinib; pemetrexed; nivolumab; bevacizumab; paclitaxel; gefitinib; crizotinib; methotrexate
Small Cell Lung Cancer,etoposide; topotecan; methotrexate; nivolumab; cyclophosphamide; atezolizumab; pembrolizumab; etoposide; topotecan; methotrexate; nivolumab; cyclophosphamide; atezolizumab; pembrolizumab; etoposide; topotecan; methotrexate; nivolumab; cyclophosphamide; atezolizumab; pembrolizumab; etoposide; topotecan; methotrexate; nivolumab; cyclophosphamide; atezolizumab; pembrolizumab
Lymphoma,prednisone; dexamethasone; doxorubicin; methotrexate; brentuximab; chlorambucil; lenalidomide; ibrutinib; nelarabine; bortezomib; pralatrexate; prednisone; dexamethasone; doxorubicin; methotrexate; brentuximab; chlorambucil; lenalidomide; ibrutinib; nelarabine; bortezomib; pralatrexate
Multiple Myeloma,dexamethasone; thalidomide; cyclophosphamide; lenalidomide; bortezomib; carfilzomib; pomalidomide; daratumumab; melphalan; dexamethasone; thalidomide; cyclophosphamide; lenalidomide; bortezomib; carfilzomib; pomalidomide; daratumumab; melphalan; dexamethasone; thalidomide; cyclophosphamide; lenalidomide; bortezomib; carfilzomib; pomalidomide; daratumumab; melphalan; dexamethasone; thalidomide; cyclophosphamide; lenalidomide; bortezomib; carfilzomib; pomalidomide; daratumumab; melphalan; dexamethasone; thalidomide; cyclophosphamide; lenalidomide; bortezomib; carfilzomib; pomalidomide; daratumumab; melphalan; dexamethasone; thalidomide; cyclophosphamide; lenalidomide; bortezomib; carfilzomib; pomalidomide; daratumumab; melphalan; dexamethasone; thalidomide; cyclophosphamide; lenalidomide; bortezomib; carfilzomib; pomalidomide; daratumumab; melphalan; dexamethasone; thalidomide; cyclophosphamide; lenalidomide; bortezomib; carfilzomib; pomalidomide; daratumumab; melphalan; dexamethasone; thalidomide; cyclophosphamide; lenalidomide; bortezomib; carfilzomib; pomalidomide; daratumumab; melphalan; dexamethasone; thalidomide; cyclophosphamide; lenalidomide; bortezomib; carfilzomib; pomalidomide; daratumumab; melphalan
Malignant Pleural Mesothelioma,pemetrexed; pemetrexed; pemetrexed; pemetrexed
Melanoma,interferon alfa-2b; nivolumab; ipilimumab; pembrolizumab; dacarbazine; aldesleukin; temozolomide; peginterferon alfa-2b; talimogene laherparepvec; interferon alfa-2b; nivolumab; ipilimumab; pembrolizumab; dacarbazine; aldesleukin; temozolomide; peginterferon alfa-2b; talimogene laherparepvec; interferon alfa-2b; nivolumab; ipilimumab; pembrolizumab; dacarbazine; aldesleukin; temozolomide; peginterferon alfa-2b; talimogene laherparepvec; interferon alfa-2b; nivolumab; ipilimumab; pembrolizumab; dacarbazine; aldesleukin; temozolomide; peginterferon alfa-2b; talimogene laherparepvec
Meningeal Leukemia,methotrexate; cytarabine; methotrexate; cytarabine; methotrexate; cytarabine
Wilms' Tumor (Nephroblastoma),paclitaxel; vincristine; doxorubicin; cyclophosphamide; dactinomycin; paclitaxel; vincristine; doxorubicin; cyclophosphamide; dactinomycin; paclitaxel; vincristine; doxorubicin; cyclophosphamide; dactinomycin; paclitaxel; vincristine; doxorubicin; cyclophosphamide; dactinomycin; paclitaxel; vincristine; doxorubicin; cyclophosphamide; dactinomycin
Non-Hodgkin's Lymphoma,cyclophosphamide; vincristine; rituximab; methotrexate; bendamustine; cytarabine; fludarabine; bleomycin; carmustine; idelalisib; ibritumomab; ibrutinib; mitoxantrone; cyclophosphamide; vincristine; rituximab; methotrexate; bendamustine; cytarabine; fludarabine; bleomycin; carmustine; idelalisib; ibritumomab; ibrutinib; mitoxantrone; cyclophosphamide; vincristine; rituximab; methotrexate; bendamustine; cytarabine; fludarabine; bleomycin; carmustine; idelalisib; ibritumomab; ibrutinib; mitoxantrone; cyclophosphamide; vincristine; rituximab; methotrexate; bendamustine; cytarabine; fludarabine; bleomycin; carmustine; idelalisib; ibritumomab; ibrutinib; mitoxantrone; cyclophosphamide; vincristine; rituximab; methotrexate; bendamustine; cytarabine; fludarabine; bleomycin; carmustine; idelalisib; ibritumomab; ibrutinib; mitoxantrone; cyclophosphamide; vincristine; rituximab; methotrexate; bendamustine; cytarabine; fludarabine; bleomycin; carmustine; idelalisib; ibritumomab; ibrutinib; mitoxantrone; cyclophosphamide; vincristine; rituximab; methotrexate; bendamustine; cytarabine; fludarabine; bleomycin; carmustine; idelalisib; ibritumomab; ibrutinib; mitoxantrone; cyclophosphamide; vincristine; rituximab; methotrexate; bendamustine; cytarabine; fludarabine; bleomycin; carmustine; idelalisib; ibritumomab; ibrutinib; mitoxantrone; cyclophosphamide; vincristine; rituximab; methotrexate; bendamustine; cytarabine; fludarabine; bleomycin; carmustine; idelalisib; ibritumomab; ibrutinib; mitoxantrone; cyclophosphamide; vincristine; rituximab; methotrexate; bendamustine; cytarabine; fludarabine; bleomycin; carmustine; idelalisib; ibritumomab; ibrutinib; mitoxantrone
